,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
종합,전국,60.8,60.8,64.0,71.0,76.8,76.7,78.9,82.4,84.2,82.9,84.0,86.3,87.8,88.8,90.1,89.8,92.1,100.0,104.8
종합,서울,55.6,55.8,60.8,71.5,82.1,81.7,84.1,83.9,82.1,79.1,79.1,81.3,83.7,86.3,90.9,92.7,95.4,100.0,103.7
종합,6대 광역시 3),59.6,59.2,60.6,63.5,67.2,68.2,71.0,76.8,80.0,79.5,81.2,83.9,85.6,86.7,87.5,87.5,90.3,100.0,104.2
종합,9개 도 4),63.8,64.0,67.5,75.7,80.7,79.8,81.4,84.9,87.3,86.2,87.3,89.5,90.7,91.1,91.4,90.3,92.2,100.0,105.6
아파트,전국,55.6,56.7,60.6,67.7,72.5,71.8,74.2,78.7,80.9,79.2,80.9,84.2,86.1,87.1,87.8,86.2,88.9,100.0,106.0
아파트,서울,52.9,54.3,60.7,71.9,80.6,78.9,80.7,79.9,77.0,73.2,73.7,76.7,80.0,83.7,89.6,91.1,94.3,100.0,104.1
아파트,6대 광역시 3),53.3,53.9,55.3,57.6,60.6,61.2,64.6,72.3,76.5,76.0,78.5,82.1,84.0,85.0,85.3,84.2,87.2,100.0,104.6
아파트,9개 도 4),58.1,59.5,64.1,72.9,77.6,76.3,77.9,82.3,85.1,83.4,85.2,88.4,89.9,89.9,89.2,86.3,88.6,100.0,107.6
연립다세대,전국,67.5,65.0,67.4,77.7,88.7,90.2,93.1,95.0,96.4,94.7,94.4,95.3,96.4,97.0,98.0,97.5,97.7,100.0,102.7
연립다세대,서울,62.0,59.6,62.7,73.8,88.4,89.0,92.7,93.1,92.9,90.3,89.4,90.2,91.6,92.8,95.2,96.2,97.2,100.0,102.3
연립다세대,6대 광역시 3),70.3,66.9,67.6,74.8,84.8,89.1,91.6,95.3,96.7,95.2,94.9,96.1,96.7,97.3,97.7,97.1,97.6,100.0,102.6
연립다세대,9개 도 4),70.2,68.2,71.2,83.0,91.4,91.8,94.3,96.3,98.8,97.8,98.0,98.9,99.9,100.0,100.3,98.8,98.2,100.0,103.0
단독주택,전국,78.2,76.1,76.5,78.8,81.9,81.5,82.9,84.5,85.9,85.9,86.0,86.5,87.5,88.7,91.5,94.8,97.1,100.0,102.9
단독주택,서울,54.8,54.5,58.0,65.6,75.2,76.9,79.4,80.4,79.9,79.5,79.7,80.3,81.2,82.5,86.3,91.5,95.6,100.0,104.2
단독주택,6대 광역시 3),73.7,72.5,73.9,75.4,77.7,77.6,78.9,80.5,81.8,81.6,81.5,82.2,83.7,85.2,88.4,92.8,96.2,100.0,103.3
단독주택,9개 도 4),83.7,81.0,80.4,81.7,83.9,83.1,84.3,86.0,87.7,87.9,88.1,88.5,89.3,90.4,92.9,95.8,97.6,100.0,102.6