"과목 및 유형",2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"과목 및 유형",평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원)
"대상분포(%)",100.0,49.8,26.5,23.7,17.8,100.0,47.9,26.9,25.2,19.2,100.0,46.7,26.9,26.4,19.9,100.0,45.6,27.3,27.1,20.7,100.0,44.8,27.3,27.8,21.9,100.0,43.9,27.5,28.6,23.0,100.0,43.0,27.8,29.2,24.0,100.0,43.4,27.3,29.3,24.0,100.0,44.6,26.0,29.4,24.1,100.0,45.4,24.8,29.8,24.5,100.0,46.7,24.1,29.2,24.1,100.0,48.6,23.9,27.6,22.7,100.0,50.4,23.7,25.9,21.3,100.0,50.4,24.6,25.0,20.7,100.0,50.2,25.4,24.4,20.4,100.0,50.5,25.6,23.9,20.1
"사교육비",22.2,22.7,23.4,19.7,24.0,23.3,24.2,24.1,20.6,24.9,24.2,24.5,26.0,21.7,26.9,24.0,24.5,25.5,21.8,26.5,24.0,24.1,26.2,21.8,25.9,23.6,21.9,27.6,22.4,26.5,23.9,23.2,26.7,22.3,26.2,24.2,23.2,27.0,23.0,26.9,24.4,23.1,27.5,23.6,27.6,25.6,24.1,27.5,26.2,30.4,27.2,25.3,29.1,28.5,33.2,29.1,26.3,31.2,32.1,37.6,32.1,29.0,33.8,36.5,42.5,30.2,23.5,34.2,39.6,45.7,36.7,32.8,39.2,41.9,48.2,41.0,37.2,43.8,46.0,52.5
"과목: 일반교과 사교육",17.8,16.0,21.9,17.0,21.2,18.8,17.4,22.6,17.6,21.7,19.7,17.6,24.3,18.5,23.5,19.5,17.5,23.8,18.4,22.9,19.3,16.8,24.3,18.5,22.6,19.3,15.4,25.5,19.3,23.3,19.1,15.8,24.5,18.9,22.5,19.1,15.2,24.8,19.4,23.0,19.0,14.7,25.1,20.2,24.0,19.1,14.2,24.6,22.1,26.1,19.8,14.6,25.5,23.3,27.5,21.3,15.5,27.4,26.2,31.1,23.5,17.2,29.7,30.3,35.9,23.9,15.8,30.4,33.6,39.5,28.1,20.9,35.0,35.7,41.7,31.0,23.4,38.3,39.0,45.2
"국  어",2.2,2.0,2.9,2.0,2.5,2.3,2.1,2.8,2.0,2.5,2.2,2.0,2.7,2.1,2.7,2.1,1.9,2.5,2.1,2.6,1.9,1.7,2.2,1.9,2.3,1.7,1.6,1.8,1.8,2.2,1.6,1.4,1.7,1.8,2.2,1.5,1.3,1.5,1.8,2.2,1.5,1.3,1.4,1.8,2.2,1.6,1.3,1.4,2.3,2.7,1.8,1.4,1.5,2.7,3.3,2.1,1.5,1.6,3.5,4.2,2.3,1.5,1.7,4.3,5.1,2.5,1.6,1.9,4.9,5.7,3.0,2.0,2.5,5.7,6.7,3.4,2.2,2.9,6.5,7.6
"영  어",6.8,6.9,7.6,5.7,7.1,7.6,8.0,8.2,6.2,7.7,8.0,8.4,9.0,6.3,8.0,8.0,8.5,9.1,6.2,7.7,8.1,8.2,9.5,6.5,7.8,8.0,7.4,10.4,6.6,7.9,8.1,7.8,10.1,6.9,8.1,8.2,7.6,10.4,7.0,8.2,8.0,7.0,10.5,7.2,8.6,7.9,6.7,10.1,7.7,9.0,7.9,6.7,10.5,7.7,9.1,8.5,7.0,11.2,8.7,10.2,9.4,7.8,12.1,9.9,11.6,9.3,7.1,12.3,10.9,12.8,11.2,9.6,13.9,11.5,13.4,12.3,10.8,15.3,12.4,14.3
"수  학",5.7,4.2,7.3,7.2,9.1,6.2,4.6,7.9,7.7,9.5,6.7,4.4,8.9,8.4,10.8,6.8,4.5,9.0,8.6,10.7,7.0,4.4,9.7,8.7,10.8,7.5,4.2,10.8,9.3,11.3,7.4,4.5,10.5,8.8,10.5,7.6,4.5,10.9,9.3,11.0,7.7,4.4,11.0,9.7,11.5,7.6,4.0,10.8,10.4,12.3,7.8,4.3,11.1,10.9,12.9,8.3,4.5,12.0,11.8,14.0,9.0,5.0,12.9,13.1,15.6,9.3,4.9,13.3,14.5,17.1,10.5,6.2,14.9,14.9,17.5,11.6,7.1,16.3,16.0,18.6
"사회, 과학",1.6,1.1,2.9,1.1,1.5,1.5,1.1,2.8,1.0,1.2,1.6,1.3,2.8,1.1,1.4,1.4,1.2,2.4,0.9,1.2,1.3,1.1,2.2,0.8,0.9,1.1,1.0,1.6,0.9,1.0,0.9,0.8,1.4,0.6,0.7,0.9,0.7,1.3,0.7,0.9,0.9,0.7,1.3,0.8,1.0,1.0,0.7,1.4,1.1,1.3,1.1,0.8,1.4,1.2,1.4,1.2,0.8,1.5,1.5,1.8,1.3,0.8,1.6,2.0,2.4,1.4,0.7,1.6,2.5,3.0,1.6,0.9,2.1,2.7,3.2,1.8,0.9,2.2,3.2,3.8
"논  술",0.8,1.0,0.6,0.7,0.9,0.7,0.8,0.5,0.5,0.6,0.6,0.8,0.4,0.4,0.5,0.6,0.8,0.4,0.5,0.6,0.7,0.9,0.5,0.5,0.7,0.7,0.8,0.5,0.6,0.8,0.7,0.9,0.5,0.7,0.8,0.6,0.8,0.5,0.5,0.6,0.7,0.9,0.5,0.5,0.6,0.8,1.0,0.6,0.5,0.6,0.8,1.0,0.7,0.5,0.5,0.9,1.2,0.8,0.4,0.5,1.0,1.3,0.8,0.6,0.7,0.9,1.1,1.0,0.5,0.5,1.2,1.5,1.2,0.5,0.5,1.3,1.7,1.2,0.6,0.6
"제2외국어, 한문, 컴퓨터 등",0.6,0.8,0.6,0.2,0.2,0.5,0.7,0.5,0.2,0.2,0.5,0.7,0.5,0.2,0.2,0.5,0.6,0.5,0.2,0.2,0.4,0.5,0.4,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.3,0.4,0.3,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.3,0.4,0.3,0.1,0.1,0.3,0.4,0.3,0.2,0.1,0.4,0.4,0.3,0.3,0.2,0.4,0.5,0.3,0.3,0.3,0.6,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.6,0.7,0.4,0.4,0.4
"컴퓨터",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.2
"제2외국어, 한문 등",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.2
"과목: 예체능,취미,교양 사교육",4.3,6.7,1.5,2.4,2.7,4.4,6.8,1.5,2.8,3.0,4.5,6.9,1.7,3.0,3.3,4.5,7.0,1.6,3.1,3.4,4.6,7.3,1.8,3.0,3.2,4.2,6.5,2.1,2.8,3.0,4.7,7.4,2.2,3.2,3.7,5.0,7.9,2.2,3.3,3.8,5.3,8.4,2.5,3.1,3.5,6.3,10.0,2.9,3.7,4.0,7.2,10.7,3.5,4.5,5.1,7.6,10.8,3.7,5.2,5.8,8.3,11.8,4.0,5.5,6.0,6.0,7.6,3.6,5.1,5.5,8.3,11.9,4.1,5.4,5.8,9.8,13.8,5.4,6.1,6.6
"음  악",1.9,3.2,0.6,0.6,0.7,2.0,3.4,0.6,0.8,0.9,2.1,3.3,0.7,1.2,1.4,2.0,3.2,0.7,1.3,1.5,2.1,3.4,0.8,1.2,1.3,1.8,2.8,0.9,0.9,1.0,1.9,3.1,0.8,1.1,1.3,1.9,3.2,0.8,1.2,1.4,1.9,3.2,0.9,0.9,1.0,2.3,3.8,0.9,1.1,1.3,2.4,3.9,1.2,1.2,1.3,2.4,3.6,1.0,1.6,1.9,2.7,3.9,1.2,1.7,1.9,1.9,2.7,1.0,1.4,1.6,2.6,4.1,1.0,1.4,1.6,3.0,4.5,1.2,1.8,2.0
"미  술",0.8,0.9,0.3,1.1,1.3,0.8,0.9,0.2,1.2,1.4,0.8,0.9,0.3,1.0,1.2,0.8,0.9,0.3,1.0,1.1,0.7,0.9,0.2,1.0,1.1,0.7,0.8,0.2,1.0,1.1,0.9,1.0,0.3,1.2,1.3,0.9,1.0,0.3,1.1,1.3,0.9,1.1,0.3,1.2,1.4,1.0,1.2,0.3,1.4,1.5,1.1,1.3,0.5,1.4,1.6,1.3,1.4,0.5,1.8,2.0,1.4,1.6,0.6,1.8,2.0,1.1,1.0,0.5,1.8,1.9,1.6,1.8,0.6,2.1,2.3,1.7,2.0,0.8,2.1,2.3
"체  육",1.3,2.2,0.5,0.4,0.4,1.3,2.2,0.4,0.4,0.4,1.3,2.3,0.6,0.4,0.4,1.4,2.4,0.5,0.5,0.4,1.5,2.7,0.6,0.4,0.4,1.4,2.4,0.7,0.4,0.4,1.6,2.8,0.8,0.4,0.5,1.8,3.3,0.8,0.4,0.5,2.0,3.6,0.9,0.6,0.6,2.4,4.3,1.3,0.6,0.6,2.8,4.7,1.4,1.1,1.2,3.1,4.9,1.8,1.0,1.0,3.4,5.5,1.7,1.1,1.1,2.5,3.5,1.7,1.2,1.2,3.5,5.4,2.0,1.0,1.1,4.3,6.5,2.6,1.3,1.3
"취미·교양",0.3,0.4,0.1,0.3,0.3,0.3,0.4,0.2,0.4,0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.4,0.1,0.3,0.3,0.3,0.4,0.2,0.4,0.3,0.4,0.4,0.2,0.5,0.5,0.4,0.4,0.3,0.5,0.6,0.4,0.4,0.2,0.6,0.6,0.5,0.5,0.3,0.5,0.5,0.6,0.7,0.4,0.6,0.6,0.7,0.8,0.4,0.9,1.0,0.7,0.8,0.5,0.8,0.9,0.8,0.8,0.6,0.9,1.0,0.5,0.4,0.5,0.8,0.8,0.6,0.6,0.5,0.8,0.8,0.8,0.7,0.7,1.0,1.0
"과목 :취업관련 사교육",0.1,-,-,0.4,0.2,0.1,-,-,0.3,0.2,0.1,-,-,0.2,0.1,0.1,-,-,0.2,0.2,0.1,-,-,0.3,0.2,0.1,-,-,0.3,0.2,0.1,-,-,0.2,0.1,0.1,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.4,0.3,0.2,0.0,0.0,0.6,0.4,0.1,0.0,0.0,0.5,0.4,0.1,0.0,0.0,0.5,0.4,0.1,0.0,0.0,0.6,0.4,0.1,0.0,0.0,0.6,0.4,0.1,0.0,0.0,0.5,0.3
"과목: 진로·진학 학습상담",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.3,0.4
"유형: 일반교과 사교육",17.8,16.0,21.9,17.0,21.2,18.8,17.4,22.6,17.6,21.7,19.7,17.6,24.3,18.5,23.5,19.5,17.5,23.8,18.4,22.9,19.3,16.8,24.3,18.5,22.6,19.3,15.4,25.5,19.3,23.3,19.1,15.8,24.5,18.9,22.5,19.1,15.2,24.8,19.4,23.0,19.0,14.7,25.1,20.2,24.0,19.1,14.2,24.6,22.1,26.1,19.8,14.6,25.5,23.3,27.5,21.3,15.5,27.4,26.2,31.1,23.5,17.2,29.7,30.3,35.9,23.9,15.8,30.4,33.6,39.5,28.1,20.9,35.0,35.7,41.7,31.0,23.4,38.3,39.0,45.2
"개인과외",2.7,1.1,3.3,5.6,7.0,2.9,1.2,3.3,5.6,6.9,3.3,1.3,4.0,6.1,7.7,3.2,1.2,3.8,5.9,7.3,3.3,1.4,4.0,5.8,7.1,3.3,1.2,4.2,5.8,6.9,3.3,1.4,3.8,5.5,6.6,3.2,1.3,4.0,5.4,6.4,3.4,1.7,4.0,5.4,6.4,3.1,1.3,3.8,5.3,6.1,2.8,1.2,3.4,4.9,5.7,3.0,1.4,3.7,5.2,6.1,3.0,1.4,3.6,5.8,6.8,3.3,1.6,4.0,6.1,7.1,3.8,1.9,4.6,6.8,7.8,3.9,1.9,4.9,7.0,8.0
"그룹과외",1.9,1.6,2.1,2.4,2.9,1.8,1.6,1.8,2.3,2.9,2.1,1.8,2.4,2.2,2.9,2.2,1.9,2.5,2.4,3.0,2.2,1.8,2.6,2.3,2.8,2.3,1.7,3.0,2.4,3.0,2.2,1.8,2.6,2.2,2.6,2.2,1.8,2.7,2.2,2.6,2.2,1.9,2.8,2.1,2.6,1.9,1.6,2.2,2.2,2.6,2.1,1.7,2.7,2.4,2.8,2.2,1.8,2.8,2.4,2.9,2.2,1.7,2.9,2.5,2.9,2.2,1.7,3.0,2.7,3.2,2.4,1.8,3.4,2.4,2.9,2.3,1.9,3.0,2.4,2.8
"학원수강",10.9,9.7,15.2,8.4,10.6,12.1,11.3,16.3,9.1,11.3,12.2,11.2,16.7,9.5,12.1,12.2,11.3,16.4,9.5,11.9,12.2,10.9,16.8,9.9,12.1,12.4,10.3,17.4,10.8,13.1,12.5,10.3,17.4,10.9,12.9,12.4,9.8,17.4,11.6,13.7,12.2,8.9,17.6,12.4,14.7,12.6,8.7,17.8,14.3,16.9,13.2,9.0,18.6,15.6,18.5,14.3,9.3,20.0,18.1,21.5,16.3,11.0,22.1,21.4,25.4,16.4,9.8,22.3,24.1,28.5,19.5,13.7,25.4,25.3,29.7,22.1,15.9,28.5,28.2,32.8
"방문학습지",2.0,3.4,1.0,0.1,0.1,1.8,3.2,0.8,0.1,0.1,1.7,3.2,0.8,0.1,0.1,1.6,2.9,0.7,0.1,0.1,1.3,2.5,0.7,0.1,0.1,1.1,2.1,0.6,0.1,0.1,1.0,2.0,0.5,0.0,0.0,1.1,2.1,0.5,0.0,0.0,1.0,2.0,0.4,0.0,0.0,1.1,2.1,0.4,0.0,0.0,1.1,2.1,0.5,0.1,0.1,1.2,2.2,0.5,0.1,0.1,1.2,2.2,0.5,0.0,0.0,1.1,2.0,0.5,0.0,0.0,1.2,2.0,0.5,0.0,0.0,1.1,2.0,0.5,0.0,0.0
"유료인터넷 및 통신강좌 등",0.2,0.1,0.3,0.4,0.5,0.2,0.1,0.3,0.4,0.5,0.3,0.2,0.3,0.5,0.7,0.3,0.1,0.4,0.5,0.6,0.3,0.1,0.3,0.4,0.5,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.3,0.3,0.4,0.5,0.6,0.3,0.3,0.4,0.6,0.7,0.4,0.4,0.5,0.7,0.9,0.6,0.6,0.7,0.8,0.9,0.7,0.7,0.8,1.3,1.5,1.1,1.1,1.3,1.5,1.7,1.3,1.3,1.5
"유형: 예체능,취미,교양 사교육",4.3,6.7,1.5,2.4,2.7,4.4,6.8,1.5,2.8,3.0,4.5,6.9,1.7,3.0,3.3,4.5,7.0,1.6,3.1,3.4,4.6,7.3,1.8,3.0,3.2,4.2,6.5,2.1,2.8,3.0,4.7,7.4,2.2,3.2,3.7,5.0,7.9,2.2,3.3,3.8,5.3,8.4,2.5,3.1,3.5,6.3,10.0,2.9,3.7,4.0,7.2,10.7,3.5,4.5,5.1,7.6,10.8,3.7,5.2,5.8,8.3,11.8,4.0,5.5,6.0,6.0,7.6,3.6,5.1,5.5,8.3,11.9,4.1,5.4,5.8,9.8,13.8,5.4,6.1,6.6
"개인과외",0.7,0.9,0.4,0.4,0.5,0.7,0.9,0.4,0.5,0.6,0.9,1.1,0.5,1.0,1.2,1.0,1.2,0.5,1.1,1.3,0.9,1.2,0.5,0.9,1.1,0.6,0.7,0.6,0.6,0.6,0.8,1.1,0.5,0.8,0.9,0.9,1.2,0.6,0.9,1.0,1.0,1.2,0.7,0.8,0.9,1.0,1.2,0.7,1.0,1.2,1.2,1.2,1.0,1.3,1.5,1.2,1.3,0.8,1.5,1.7,1.2,1.2,0.8,1.5,1.8,1.1,1.1,1.0,1.3,1.5,1.2,1.2,0.9,1.3,1.5,1.3,1.2,1.1,1.6,1.8
"그룹과외",0.3,0.5,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.3,0.6,0.2,0.1,0.1,0.4,0.6,0.2,0.1,0.1,0.4,0.6,0.2,0.1,0.1,0.3,0.5,0.2,0.1,0.1,0.3,0.5,0.2,0.1,0.1,0.4,0.7,0.2,0.1,0.1,0.4,0.7,0.3,0.1,0.1,0.4,0.7,0.3,0.2,0.2,0.5,0.9,0.3,0.2,0.2,0.6,0.9,0.5,0.2,0.2,0.6,0.9,0.4,0.3,0.3,0.5,0.6,0.4,0.3,0.3,0.5,0.7,0.4,0.2,0.2,0.6,0.7,0.5,0.3,0.3
"학원수강",3.3,5.1,1.0,1.9,2.0,3.3,5.4,0.9,2.1,2.3,3.1,5.1,1.0,1.9,1.9,3.1,5.1,0.9,1.8,2.0,3.2,5.3,1.1,2.0,2.0,3.2,5.1,1.2,2.1,2.2,3.5,5.6,1.4,2.4,2.7,3.7,6.0,1.4,2.4,2.7,3.8,6.3,1.4,2.2,2.4,4.6,7.5,1.7,2.4,2.6,5.0,7.9,2.0,2.9,3.3,5.4,8.0,2.3,3.5,3.8,6.1,9.1,2.5,3.5,3.9,4.2,5.7,2.1,3.4,3.7,6.4,9.6,2.6,3.8,4.1,7.6,11.3,3.6,4.1,4.4
"방문수업 및 기타",0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.3,0.5,0.2,0.1,0.1,0.4,0.7,0.2,0.1,0.1,0.4,0.6,0.2,0.1,0.1,0.4,0.6,0.2,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.2,0.4,0.2,0.1,0.1,0.3,0.5,0.2,0.1,0.1
